,beliefself1_100,beliefself2_100,beliefself3_100,beliefself4_100,beliefself5_100,beliefself6_100,beliefself7_100,beliefself8_100,beliefself9_100,beliefothers1_100,beliefothers2_100,beliefothers3_100,beliefothers4_100,beliefothers5_100,beliefothers6_100,beliefothers7_100,beliefothers8_100,beliefothers9_100,emocomp1_100,emocomp2_100,emocomp3_100,emocomp4_100,emocomp5_100,emocomp6_100,emocomp7_100,emocomp8_100,emocomp9_100,engaged1_100,engaged2_100,engaged3_100,engaged4_100,engaged5_100,engaged6_100,engaged7_100,engaged8_100,engaged9_100,psydis1_100,psydis2_100,psydis3_100,psydis4_100,psydis5_100,psydis6_100,psydis7_100,psydis8_100,psydis9_100,psydis10_100,suicidal,homobully,transbully,ethnic,grade,a3,sch_id,formnum
496,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,66.666664,66.666664,66.666664,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,Mixed,7th,Female,112.0,62518657
498,33.333332,66.666664,33.333332,33.333332,66.666664,66.666664,66.666664,33.333332,66.666664,66.666664,100.0,66.666664,,,,,,,66.666664,100.0,0.0,33.333332,33.333332,33.333332,33.333332,66.666664,33.333332,66.666664,66.666664,66.666664,66.666664,66.666664,66.666664,100.0,100.0,100.0,66.666664,66.666664,66.666664,66.666664,66.666664,66.666664,66.666664,66.666664,66.666664,66.666664,,0.0,1.0,Hispanic,7th,Female,112.0,62516722
499,100.0,33.333332,100.0,100.0,100.0,100.0,,,,100.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,Black,7th,Male,112.0,62514369
501,0.0,66.666664,0.0,0.0,0.0,66.666664,0.0,0.0,0.0,33.333332,33.333332,33.333332,66.666664,33.333332,33.333332,0.0,66.666664,0.0,33.333332,66.666664,100.0,100.0,100.0,66.666664,33.333332,66.666664,66.666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,66.666664,100.0,100.0,100.0,,0.0,0.0,Black,7th,Female,113.0,62465451
694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.333332,33.333332,33.333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,Native American,9th,Male,161.0,69268073
695,66.666664,33.333332,66.666664,33.333332,66.666664,33.333332,0.0,0.0,0.0,33.333332,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,66.666664,66.666664,66.666664,66.666664,100.0,100.0,33.333332,33.333332,66.666664,0.0,0.0,33.333332,66.666664,66.666664,33.333332,0.0,0.0,0.0,66.666664,100.0,100.0,100.0,100.0,100.0,100.0,66.666664,100.0,100.0,1.0,1.0,2.0,Mixed,9th,,161.0,69194259
696,,,,,,,,,,66.666664,66.666664,66.666664,66.666664,66.666664,66.666664,,66.666664,66.666664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,Native American,9th,Male,161.0,69268137
706,66.666664,66.666664,66.666664,66.666664,66.666664,66.666664,66.666664,66.666664,66.666664,33.333332,0.0,33.333332,66.666664,66.666664,66.666664,66.666664,66.666664,66.666664,66.666664,66.666664,66.666664,66.666664,66.666664,66.666664,66.666664,66.666664,66.666664,66.666664,66.666664,66.666664,33.333332,33.333332,33.333332,33.333332,33.333332,33.333332,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,2.0,2.0,White,11th,Male,166.0,61714467
717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.333332,33.333332,33.333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,White,9th,Male,169.0,61554122
722,33.333332,66.666664,66.666664,33.333332,100.0,66.666664,33.333332,33.333332,33.333332,100.0,66.666664,66.666664,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,66.666664,100.0,100.0,100.0,66.666664,66.666664,33.333332,0.0,33.333332,66.666664,33.333332,66.666664,0.0,33.333332,0.0,0.0,33.333332,33.333332,66.666664,0.0,66.666664,33.333332,0.0,100.0,66.666664,33.333332,0.0,2.0,0.0,White,11th,Male,169.0,61562382
730,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,66.666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Native American,11th,Female,170.0,61876280
732,33.333332,66.666664,100.0,66.666664,100.0,100.0,33.333332,100.0,66.666664,66.666664,33.333332,66.666664,66.666664,33.333332,33.333332,100.0,100.0,100.0,100.0,100.0,100.0,100.0,66.666664,100.0,0.0,66.666664,100.0,33.333332,33.333332,33.333332,100.0,100.0,100.0,0.0,0.0,0.0,100.0,33.333332,100.0,100.0,100.0,100.0,100.0,100.0,33.333332,66.666664,1.0,0.0,0.0,White,11th,Female,170.0,61836805
939,33.333332,100.0,66.666664,33.333332,100.0,66.666664,33.333332,100.0,66.666664,66.666664,66.666664,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,33.333332,33.333332,66.666664,66.666664,66.666664,100.0,33.333332,100.0,100.0,33.333332,100.0,100.0,100.0,100.0,100.0,100.0,66.666664,0.0,33.333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,Mixed,7th,Female,229.0,61761969
1161,,,66.666664,,0.0,100.0,,,,33.333332,66.666664,66.666664,,33.333332,33.333332,,,100.0,0.0,,,100.0,,100.0,,100.0,,,66.666664,0.0,100.0,0.0,0.0,0.0,,,,,,,,,,,,,0.0,0.0,0.0,Hispanic,11th,Male,292.0,64916805
