,beliefself1_100,beliefself2_100,beliefself3_100,beliefself4_100,beliefself5_100,beliefself6_100,beliefself7_100,beliefself8_100,beliefself9_100,beliefothers1_100,beliefothers2_100,beliefothers3_100,beliefothers4_100,beliefothers5_100,beliefothers6_100,beliefothers7_100,beliefothers8_100,beliefothers9_100,emocomp1_100,emocomp2_100,emocomp3_100,emocomp4_100,emocomp5_100,emocomp6_100,emocomp7_100,emocomp8_100,emocomp9_100,engaged1_100,engaged2_100,engaged3_100,engaged4_100,engaged5_100,engaged6_100,engaged7_100,engaged8_100,engaged9_100,psydis1_100,psydis2_100,psydis3_100,psydis4_100,psydis5_100,psydis6_100,psydis7_100,psydis8_100,psydis9_100,psydis10_100,suicidal,homobully,transbully,ethnic,grade,a3,sch_id,formnum
3650,66.666664,66.666664,0.0,33.333332,0.0,100.0,0.0,66.666664,0.0,66.666664,66.666664,66.666664,33.333332,66.666664,66.666664,100.0,100.0,100.0,100.0,100.0,33.333332,100.0,66.666664,66.666664,66.666664,100.0,66.666664,0.0,0.0,0.0,0.0,66.666664,33.333332,100.0,100.0,66.666664,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,33.333332,100.0,1.0,2.0,1.0,Mixed,9th,Male,94.0,64402136
3652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,33.333332,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,Hispanic,7th,Male,95.0,63728702
3668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,2.0,2.0,Hispanic,7th,Male,95.0,63771004
3887,0.0,33.333332,33.333332,0.0,0.0,0.0,0.0,33.333332,33.333332,33.333332,33.333332,0.0,66.666664,0.0,33.333332,33.333332,0.0,33.333332,66.666664,33.333332,100.0,33.333332,33.333332,33.333332,100.0,66.666664,66.666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.666664,33.333332,100.0,66.666664,66.666664,0.0,100.0,66.666664,33.333332,100.0,1.0,1.0,1.0,White,10th,Female,102.0,67754599
3893,66.666664,100.0,66.666664,66.666664,66.666664,66.666664,0.0,0.0,66.666664,100.0,100.0,100.0,33.333332,33.333332,33.333332,66.666664,66.666664,66.666664,66.666664,33.333332,66.666664,0.0,0.0,66.666664,66.666664,66.666664,66.666664,66.666664,33.333332,33.333332,33.333332,33.333332,33.333332,100.0,66.666664,33.333332,100.0,66.666664,33.333332,33.333332,33.333332,66.666664,33.333332,33.333332,66.666664,33.333332,0.0,1.0,1.0,Mixed,10th,Male,102.0,67894009
3902,33.333332,33.333332,33.333332,33.333332,33.333332,66.666664,33.333332,66.666664,33.333332,0.0,0.0,0.0,33.333332,33.333332,0.0,33.333332,33.333332,33.333332,66.666664,100.0,66.666664,33.333332,66.666664,0.0,100.0,66.666664,33.333332,33.333332,0.0,0.0,33.333332,33.333332,33.333332,33.333332,0.0,0.0,33.333332,100.0,100.0,66.666664,100.0,66.666664,33.333332,66.666664,66.666664,33.333332,1.0,2.0,0.0,White,10th,Female,102.0,67846969
3927,33.333332,0.0,33.333332,0.0,0.0,33.333332,0.0,33.333332,0.0,0.0,33.333332,33.333332,66.666664,66.666664,100.0,33.333332,0.0,33.333332,66.666664,66.666664,100.0,,33.333332,33.333332,33.333332,66.666664,66.666664,0.0,0.0,0.0,33.333332,33.333332,33.333332,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,66.666664,100.0,100.0,1.0,2.0,2.0,White,9th,Female,103.0,66817515
3935,100.0,33.333332,33.333332,66.666664,0.0,33.333332,33.333332,33.333332,0.0,100.0,66.666664,100.0,0.0,100.0,100.0,0.0,66.666664,100.0,66.666664,66.666664,33.333332,66.666664,66.666664,100.0,66.666664,0.0,33.333332,33.333332,66.666664,33.333332,0.0,0.0,33.333332,33.333332,100.0,66.666664,33.333332,0.0,0.0,100.0,0.0,0.0,33.333332,66.666664,33.333332,0.0,1.0,0.0,0.0,Black,9th,Male,103.0,67246351
3944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,Hispanic,,Female,104.0,66636115
3953,66.666664,100.0,100.0,66.666664,100.0,100.0,66.666664,66.666664,0.0,66.666664,66.666664,100.0,100.0,66.666664,0.0,100.0,66.666664,100.0,100.0,100.0,100.0,66.666664,66.666664,66.666664,100.0,33.333332,33.333332,100.0,66.666664,33.333332,100.0,66.666664,33.333332,100.0,100.0,66.666664,100.0,66.666664,33.333332,33.333332,33.333332,33.333332,33.333332,0.0,66.666664,100.0,,1.0,2.0,White,7th,Male,105.0,66926906
4388,66.666664,66.666664,100.0,66.666664,0.0,100.0,33.333332,33.333332,33.333332,66.666664,66.666664,66.666664,33.333332,33.333332,0.0,33.333332,0.0,0.0,100.0,100.0,100.0,0.0,33.333332,33.333332,66.666664,0.0,0.0,66.666664,66.666664,33.333332,66.666664,66.666664,66.666664,100.0,66.666664,66.666664,0.0,0.0,0.0,0.0,0.0,33.333332,0.0,0.0,33.333332,0.0,0.0,0.0,0.0,White,9th,Male,128.0,62203194
