,00000000,11472200,11475560,11475800,11478500
1981-01-01,9.48812313469089,8.489278242812883,10.154215751891119,8.938882304056722,8.353016105862364
1981-01-02,9.23300007411412,8.266486219776558,9.723259302724406,8.76311076313558,7.291021149506671
1981-01-03,8.339775883421606,7.730048259321937,8.14602045044006,7.829687200363235,6.640107871324588
1981-01-04,7.756163733346122,7.582998978397834,7.574083877274715,7.776038312382167,5.2431949267286395
1981-01-05,10.393612725394114,10.052152375435854,9.636394785694867,9.553750156826442,7.131888394105927
1981-01-06,9.082184188219966,8.609450863931102,9.767267166380865,8.577269060828467,7.260522055067748
1981-01-07,7.7090819319900215,7.110890458018249,8.72731132621309,7.5329472534102635,6.649775002951605
1981-01-08,7.201286023976852,6.830208987786028,7.400303114932846,7.332185324803748,6.308211569589385
1981-01-09,9.085041201844508,8.002560761351102,9.36682934020145,8.53044943520517,6.824368428439734
1981-01-10,8.588286419304051,7.584865962980398,9.311865042880237,8.088974777568469,6.969835098983188
1981-01-11,7.4216534069606235,6.58513475681368,8.473924608344577,7.314899952194907,6.942078467223425
1981-01-12,8.310878150317135,7.471508299343467,8.42452231631336,7.701193451062599,7.060260645282709
1981-01-13,8.769571790889817,8.071694624227339,7.894482245958184,8.165357109609277,6.372364842479711
1981-01-14,9.711245303251307,9.016206978044888,9.563506726724693,9.009156098606612,7.19546693224572
1981-01-15,9.647020884922572,9.240283330281576,9.014203782100601,9.318211869808156,7.437620880877562
1981-01-16,10.137673825633769,9.750525187229094,8.96386515096839,9.579843375706911,8.49867591108367
1981-01-17,9.340918891283932,9.412763072291973,7.778410486016139,9.06774765120612,6.1832377320415075
1981-01-18,9.407878369701153,9.139099860911129,8.847510531604051,9.280360232748166,6.885356860974163
1981-01-19,11.012449342377332,10.779601534022154,10.049558221581448,10.751847548147644,9.364003147967287
1981-01-20,9.914184336759607,10.037450099265952,9.401964407993027,10.244445075507118,8.645199482682822
1981-01-21,11.641939435686384,11.591447356182805,10.953108415185692,11.52469472528708,10.480250107351619
1981-01-22,12.765143589097628,13.132226747476606,11.6366740868861,13.010825688718542,11.765807375009507
1981-01-23,9.695429081819496,9.875895173683965,8.406199702228681,9.6083840885066,7.878151905868895
1981-01-24,7.05679634639195,7.1275519743687,5.36616753866948,6.659768674831197,3.7408379710305364
1981-01-25,4.696183846921337,4.926941110195123,3.4684821713968104,4.733205676391873,1.2639336242150505
1981-01-26,5.231286000232307,5.3672411326786245,4.54573714875605,5.1521698293300595,3.1009340388652604
1981-01-27,5.8367145888659415,6.323778860820556,5.172223379887432,6.615717872176506,4.072052597311825
1981-01-28,6.711061565243468,6.87699305703252,5.1981715548085985,6.903497760825687,3.8395522366266452
1981-01-29,6.272469695733518,6.165285253020192,4.399952348959872,5.559247328094159,2.7017782806212214
1981-01-30,3.8772654873984207,4.345269741204682,1.7296017134688288,3.653419790660793,0.5916707055269427
1981-01-31,3.3259389400482178,3.9690020805276385,1.5840718165574321,3.1403321606191716,0.5816843154861974
1981-02-01,5.123938930277923,5.035578342378975,5.037370569677466,4.666846452433654,3.02267961380806
1981-02-02,5.501347308256189,5.597476636513795,5.45602824868434,5.384185641510316,3.7162276018157594
1981-02-03,7.287796195672484,6.877289763129171,7.268594132001656,6.6595058800957405,5.6121779699920955
1981-02-04,7.221898361128203,7.008759456893346,7.000474576456138,6.739070531623531,4.6128725644338076
1981-02-05,7.200469688493379,7.073029609027773,7.153235500077328,6.898555479146014,4.959406153228104
1981-02-06,6.006592088816118,5.94594115606914,4.837613782084796,5.467907213707163,2.214782043037273
1981-02-07,6.5123472700313645,6.892418271909799,4.871099910888064,6.1459287701592284,2.5868729073882366
1981-02-08,7.052449275036248,7.368238472916277,5.868557973686917,7.107153055499298,4.578455065644306
1981-02-09,7.561449508277738,7.515610740372522,6.5430961016164835,7.088718103110187,5.971150926204032
1981-02-10,8.278490085991061,8.547527204819868,7.446832949421795,8.140366455087756,5.915507108205671
1981-02-11,7.718061670965079,7.903286434281033,7.392749220251562,7.345315040145255,5.680242983872276
1981-02-12,8.599408538974062,8.633575271751292,8.347645782379516,8.24876646581322,7.108092773292908
1981-02-13,10.35240868159703,10.474031261369296,9.745606433822815,10.281954107573535,8.299471238996405
1981-02-14,9.38238813439194,9.62512932274893,9.09544282510461,9.698701125058259,7.786188536317585
1981-02-15,10.599041374362246,10.732894343896483,9.880048402277122,10.507834874451763,7.431749495880527
1981-02-16,11.379245505041007,11.548261045259443,10.58101634295338,11.158656961941958,9.456414603761743
1981-02-17,10.664510649077746,10.344818840952929,10.420378928165512,10.187557922324748,6.840713940974463
1981-02-18,11.3464494043467,11.276985357232903,10.957693476126012,10.927817599845651,7.791260007871037
1981-02-19,13.972429392289143,13.715784343276631,13.572147946908654,13.975424972591973,12.3732898880141
1981-02-20,7.653122619706759,7.859045906598199,6.593203415433723,7.120613648963695,4.8138982513585145
1981-02-21,9.437775825967595,9.121693082661636,9.378920486723759,8.505737943312132,5.332330470606106
1981-02-22,12.147510606415418,11.866944370483486,12.141605722951699,11.917611913488368,9.633117513699146
1981-02-23,10.66504122286427,10.310068002416457,10.917948829225333,10.495795173067036,9.374258516145794
1981-02-24,8.007449549071643,8.413426147381392,6.613076143530736,7.693056721639149,5.710485295654008
1981-02-25,2.9801633674271257,4.081441675358906,1.232860633635901,3.171335808708511,1.8864815791414729
1981-02-26,3.6210205019736783,4.150552451777526,2.43443839673502,3.672164924855184,2.3647805843232343
1981-02-27,4.192367563442309,5.1893664159175215,2.9680518928277064,4.653228612993702,3.3831800866950976
