"","month","year","creek","mean_daily_q_mm_day","modeled_use_mm_day","quantile","modeled_monthly_use_0.05cover","modeled_monthly_use_0.1cover","modeled_monthly_use_0.5cover","modeled_monthly_use_1cover","modeled_monhtyly_use_5cover"
"1",1,2016,"Dry Creek",22.8989326686801,0.403160899625064,0.25,0.000201580449812532,0.000403160899625064,0.00201580449812532,0.00403160899625064,0.0201580449812532
"2",1,2016,"Dry Creek",22.8989326686801,0.498122906969471,0.5,0.000249061453484735,0.000498122906969471,0.00249061453484735,0.0049812290696947,0.0249061453484735
"3",1,2016,"Dry Creek",22.8989326686801,0.800174784791615,0.75,0.000400087392395807,0.000800174784791615,0.00400087392395807,0.00800174784791615,0.0400087392395807
"4",1,2016,"Dry Creek",22.8989326686801,1.27933110096848,0.9,0.000639665550484238,0.00127933110096848,0.00639665550484238,0.0127933110096848,0.0639665550484238
"5",1,2016,"Dry Creek",22.8989326686801,1.61993654916436,0.95,0.000809968274582182,0.00161993654916436,0.00809968274582182,0.0161993654916436,0.0809968274582182
"6",1,2017,"Dry Creek",24.4375530357124,0.403160899625064,0.25,0.000201580449812532,0.000403160899625064,0.00201580449812532,0.00403160899625064,0.0201580449812532
"7",1,2017,"Dry Creek",24.4375530357124,0.498122906969471,0.5,0.000249061453484735,0.000498122906969471,0.00249061453484735,0.0049812290696947,0.0249061453484735
"8",1,2017,"Dry Creek",24.4375530357124,0.800174784791615,0.75,0.000400087392395807,0.000800174784791615,0.00400087392395807,0.00800174784791615,0.0400087392395807
"9",1,2017,"Dry Creek",24.4375530357124,1.27933110096848,0.9,0.000639665550484238,0.00127933110096848,0.00639665550484238,0.0127933110096848,0.0639665550484238
"10",1,2017,"Dry Creek",24.4375530357124,1.61993654916436,0.95,0.000809968274582182,0.00161993654916436,0.00809968274582182,0.0161993654916436,0.0809968274582182
"11",1,2018,"Dry Creek",10.6778402566654,0.403160899625064,0.25,0.000201580449812532,0.000403160899625064,0.00201580449812532,0.00403160899625064,0.0201580449812532
"12",1,2018,"Dry Creek",10.6778402566654,0.498122906969471,0.5,0.000249061453484735,0.000498122906969471,0.00249061453484735,0.0049812290696947,0.0249061453484735
"13",1,2018,"Dry Creek",10.6778402566654,0.800174784791615,0.75,0.000400087392395807,0.000800174784791615,0.00400087392395807,0.00800174784791615,0.0400087392395807
"14",1,2018,"Dry Creek",10.6778402566654,1.27933110096848,0.9,0.000639665550484238,0.00127933110096848,0.00639665550484238,0.0127933110096848,0.0639665550484238
"15",1,2018,"Dry Creek",10.6778402566654,1.61993654916436,0.95,0.000809968274582182,0.00161993654916436,0.00809968274582182,0.0161993654916436,0.0809968274582182
"16",1,2019,"Dry Creek",13.4235970003711,0.403160899625064,0.25,0.000201580449812532,0.000403160899625064,0.00201580449812532,0.00403160899625064,0.0201580449812532
"17",1,2019,"Dry Creek",13.4235970003711,0.498122906969471,0.5,0.000249061453484735,0.000498122906969471,0.00249061453484735,0.0049812290696947,0.0249061453484735
"18",1,2019,"Dry Creek",13.4235970003711,0.800174784791615,0.75,0.000400087392395807,0.000800174784791615,0.00400087392395807,0.00800174784791615,0.0400087392395807
"19",1,2019,"Dry Creek",13.4235970003711,1.27933110096848,0.9,0.000639665550484238,0.00127933110096848,0.00639665550484238,0.0127933110096848,0.0639665550484238
"20",1,2019,"Dry Creek",13.4235970003711,1.61993654916436,0.95,0.000809968274582182,0.00161993654916436,0.00809968274582182,0.0161993654916436,0.0809968274582182
"21",1,2019,"Elder",9.23589100839668,0.403160899625064,0.25,0.000201580449812532,0.000403160899625064,0.00201580449812532,0.00403160899625064,0.0201580449812532
"22",1,2019,"Elder",9.23589100839668,0.498122906969471,0.5,0.000249061453484735,0.000498122906969471,0.00249061453484735,0.0049812290696947,0.0249061453484735
"23",1,2019,"Elder",9.23589100839668,0.800174784791615,0.75,0.000400087392395807,0.000800174784791615,0.00400087392395807,0.00800174784791615,0.0400087392395807
"24",1,2019,"Elder",9.23589100839668,1.27933110096848,0.9,0.000639665550484238,0.00127933110096848,0.00639665550484238,0.0127933110096848,0.0639665550484238
"25",1,2019,"Elder",9.23589100839668,1.61993654916436,0.95,0.000809968274582182,0.00161993654916436,0.00809968274582182,0.0161993654916436,0.0809968274582182
"26",1,2016,"Elder",14.9093808922098,0.403160899625064,0.25,0.000201580449812532,0.000403160899625064,0.00201580449812532,0.00403160899625064,0.0201580449812532
"27",1,2016,"Elder",14.9093808922098,0.498122906969471,0.5,0.000249061453484735,0.000498122906969471,0.00249061453484735,0.0049812290696947,0.0249061453484735
"28",1,2016,"Elder",14.9093808922098,0.800174784791615,0.75,0.000400087392395807,0.000800174784791615,0.00400087392395807,0.00800174784791615,0.0400087392395807
"29",1,2016,"Elder",14.9093808922098,1.27933110096848,0.9,0.000639665550484238,0.00127933110096848,0.00639665550484238,0.0127933110096848,0.0639665550484238
"30",1,2016,"Elder",14.9093808922098,1.61993654916436,0.95,0.000809968274582182,0.00161993654916436,0.00809968274582182,0.0161993654916436,0.0809968274582182
"31",1,2017,"Elder",18.9989154649077,0.403160899625064,0.25,0.000201580449812532,0.000403160899625064,0.00201580449812532,0.00403160899625064,0.0201580449812532
"32",1,2017,"Elder",18.9989154649077,0.498122906969471,0.5,0.000249061453484735,0.000498122906969471,0.00249061453484735,0.0049812290696947,0.0249061453484735
"33",1,2017,"Elder",18.9989154649077,0.800174784791615,0.75,0.000400087392395807,0.000800174784791615,0.00400087392395807,0.00800174784791615,0.0400087392395807
