rounded_datetime,J [mm/h],Cin [-],C_flux_in,C_in_conserved,ET [mm/h],Q [mm/h],wi [-],measC_Q
2016-10-01 00:00:00,0.0,-31.0,0.0,,0.06266348324663705,0.005142541678392861,0.0007450140102192187,
2016-10-01 04:00:00,0.0,-31.0,0.0,,0.06688817547578889,0.004550921839285718,0.0006593044338223176,
2016-10-01 08:00:00,0.0,-31.0,0.0,,0.06688817547578889,0.004550921839285718,0.0006593044338223176,
2016-10-01 12:00:00,0.0,-31.0,0.0,,0.06688817547578889,0.005188050896785717,0.000751607054557442,
2016-10-01 16:00:00,0.0,-31.0,0.0,,0.06688817547578889,0.005279069333571431,0.0007647931432338881,
2016-10-01 20:00:00,0.0,-31.0,0.0,,0.06688817547578889,0.005392842379553575,0.0007812757540794461,
2016-10-02 00:00:00,0.0,-31.0,0.0,,0.06688817547578889,0.005279069333571431,0.0007647931432338881,
2016-10-02 04:00:00,0.045675000000000014,-31.0,-1.4159250000000003,-31.000000000000004,0.04506387000496269,0.005279069333571431,0.0007647931432338881,
2016-10-02 08:00:00,4.156425,-31.0,-128.849175,-31.000000000000004,0.04506387000496269,0.005882066477276789,0.0008521509807153452,
2016-10-02 12:00:00,0.0,-31.0,0.0,,0.04506387000496269,0.009773104649866077,0.0014158562716334267,
2016-10-02 16:00:00,0.0,-31.0,0.0,,0.04506387000496269,0.010459535360625005,0.0015153013570682928,
2016-10-02 20:00:00,0.0,-31.0,0.0,,0.04506387000496269,0.00943937038165179,0.0013675072798197902,
2016-10-03 00:00:00,0.0,-31.0,0.0,,0.04506387000496269,0.007744151996517861,0.0011219163782209768,
2016-10-03 04:00:00,0.0,-31.0,0.0,,0.033911204512569015,0.006697439973482146,0.0009702763584418438,
2016-10-03 08:00:00,0.685125,-31.0,-21.238875,-31.0,0.033911204512569015,0.0064319695328571465,0.000931816933135542,
2016-10-03 12:00:00,0.6851250000000001,-29.441666666666666,-20.954167500000004,-30.58444444444445,0.033911204512569015,0.007016004502232146,0.0010164276688094062,
2016-10-03 16:00:00,0.5937749999999999,-21.65,-12.855228749999998,-21.65,0.033911204512569015,0.008525393578928573,0.001235096972693808,
2016-10-03 20:00:00,0.5481000000000001,-21.65,-11.866365000000002,-21.65,0.033911204512569015,0.009336974640267864,0.001352672930058788,
2016-10-04 00:00:00,0.593775,-21.65,-12.85522875,-21.65,0.033911204512569015,0.00919665455022322,0.0013323443766826,
2016-10-04 04:00:00,0.4110750000000001,-21.65,-8.899773750000003,-21.65,0.05743796088970522,0.009162522636428576,0.0013273995934289325,
2016-10-04 08:00:00,0.13702500000000006,-21.65,-2.9665912500000005,-21.65,0.05743796088970522,0.009572105601964292,0.0013867369924729412,
2016-10-04 12:00:00,0.0,-21.65,0.0,,0.05743796088970522,0.009708633257142864,0.0014065161254876108,
2016-10-04 16:00:00,0.0,-21.65,0.0,,0.05743796088970522,0.009708633257142864,0.0014065161254876108,
2016-10-04 20:00:00,0.0,-21.65,0.0,,0.05743796088970522,0.009367314119196434,0.0013570682929509366,
2016-10-05 00:00:00,0.0,-21.65,0.0,,0.05743796088970522,0.008707430452500003,0.0012614691500467006,
2016-10-05 04:00:00,0.045675000000000014,-21.65,-0.98886375,-21.65,0.06490247394260097,0.008677090973571432,0.0012570737871545517,
2016-10-05 08:00:00,0.0,-21.65,0.0,,0.06490247394260097,0.008555733057857146,0.0012394923355859564,
2016-10-05 12:00:00,0.0,-21.65,0.0,,0.06490247394260097,0.008221998789642861,0.0011911433437723198,
2016-10-05 16:00:00,0.0,-21.65,0.0,,0.06490247394260097,0.00819165931071429,0.0011867479808801713,
2016-10-05 20:00:00,0.0,-21.65,0.0,,0.06490247394260097,0.008077886264732145,0.0011702653700346134,
2016-10-06 00:00:00,0.0,-21.65,0.0,,0.06490247394260097,0.007281474942857145,0.0010548870941157076,
2016-10-06 04:00:00,0.0,-21.65,0.0,,0.07586357780559683,0.007069098590357145,0.0010241195538706663,
2016-10-06 08:00:00,0.0,-21.65,0.0,,0.07586357780559683,0.007069098590357145,0.0010241195538706663,
2016-10-06 12:00:00,0.0,-21.65,0.0,,0.07586357780559683,0.007254927898794645,0.0010510411515850776,
2016-10-06 16:00:00,0.0,-21.65,0.0,,0.07586357780559683,0.007281474942857145,0.0010548870941157076,
2016-10-06 20:00:00,0.0,-21.65,0.0,,0.07586357780559683,0.007281474942857145,0.0010548870941157076,
