Date,Monthly precipitation [mm],Site
1960-03-01,211,Dry Creek
1960-03-01,245,Elder Creek
1960-03-01,203,"Paradise, CA"
1960-03-01,73,KREW (P300 gauge)
1960-03-01,15,San Dimas Experimental Watershed
1960-04-01,30,Antelope Valley Ranch (AVR)
1960-04-01,93,Dry Creek
1960-04-01,103,Elder Creek
1960-04-01,103,"Paradise, CA"
1960-04-01,116,KREW (P300 gauge)
1960-04-01,74,San Dimas Experimental Watershed
1960-05-01,15,Antelope Valley Ranch (AVR)
1960-05-01,55,Dry Creek
1960-05-01,66,Elder Creek
1960-05-01,44,"Paradise, CA"
1960-05-01,4,KREW (P300 gauge)
1960-05-01,7,San Dimas Experimental Watershed
1960-06-01,0,Antelope Valley Ranch (AVR)
1960-06-01,0,Dry Creek
1960-06-01,0,Elder Creek
1960-06-01,0,"Paradise, CA"
1960-06-01,0,KREW (P300 gauge)
1960-06-01,0,San Dimas Experimental Watershed
1960-07-01,1,Antelope Valley Ranch (AVR)
1960-07-01,1,Dry Creek
1960-07-01,1,Elder Creek
1960-07-01,4,"Paradise, CA"
1960-07-01,4,KREW (P300 gauge)
1960-07-01,0,San Dimas Experimental Watershed
1960-08-01,0,Antelope Valley Ranch (AVR)
1960-08-01,1,Dry Creek
1960-08-01,1,Elder Creek
1960-08-01,1,"Paradise, CA"
1960-08-01,0,KREW (P300 gauge)
1960-08-01,0,San Dimas Experimental Watershed
1960-09-01,1,Antelope Valley Ranch (AVR)
1960-09-01,2,Dry Creek
1960-09-01,2,Elder Creek
1960-09-01,5,"Paradise, CA"
1960-09-01,3,KREW (P300 gauge)
1960-09-01,6,San Dimas Experimental Watershed
1960-10-01,10,Antelope Valley Ranch (AVR)
1960-10-01,47,Dry Creek
1960-10-01,56,Elder Creek
1960-10-01,29,"Paradise, CA"
1960-10-01,17,KREW (P300 gauge)
1960-10-01,8,San Dimas Experimental Watershed
1960-11-01,103,Antelope Valley Ranch (AVR)
1960-11-01,307,Dry Creek
1960-11-01,349,Elder Creek
1960-11-01,350,"Paradise, CA"
1960-11-01,235,KREW (P300 gauge)
1960-11-01,112,San Dimas Experimental Watershed
1960-12-01,81,Antelope Valley Ranch (AVR)
1960-12-01,291,Dry Creek
1960-12-01,314,Elder Creek
1960-12-01,165,"Paradise, CA"
1960-12-01,46,KREW (P300 gauge)
1960-12-01,5,San Dimas Experimental Watershed
1961-01-01,83,Antelope Valley Ranch (AVR)
1961-01-01,191,Dry Creek
1961-01-01,203,Elder Creek
1961-01-01,151,"Paradise, CA"
1961-01-01,95,KREW (P300 gauge)
1961-01-01,27,San Dimas Experimental Watershed
1961-02-01,53,Antelope Valley Ranch (AVR)
1961-02-01,190,Dry Creek
1961-02-01,232,Elder Creek
1961-02-01,151,"Paradise, CA"
1961-02-01,36,KREW (P300 gauge)
1961-02-01,1,San Dimas Experimental Watershed
1961-03-01,61,Antelope Valley Ranch (AVR)
1961-03-01,221,Dry Creek
1961-03-01,262,Elder Creek
1961-03-01,193,"Paradise, CA"
1961-03-01,84,KREW (P300 gauge)
1961-03-01,30,San Dimas Experimental Watershed
1961-04-01,18,Antelope Valley Ranch (AVR)
1961-04-01,68,Dry Creek
1961-04-01,81,Elder Creek
1961-04-01,77,"Paradise, CA"
1961-04-01,48,KREW (P300 gauge)
1961-04-01,8,San Dimas Experimental Watershed
1961-05-01,9,Antelope Valley Ranch (AVR)
1961-05-01,49,Dry Creek
1961-05-01,62,Elder Creek
1961-05-01,33,"Paradise, CA"
1961-05-01,46,KREW (P300 gauge)
1961-05-01,2,San Dimas Experimental Watershed
1961-06-01,4,Antelope Valley Ranch (AVR)
1961-06-01,5,Dry Creek
1961-06-01,6,Elder Creek
