rounded_datetime,J [mm/h],Cin [-],C_flux_in,C_in_conserved,ET [mm/h],Q [mm/h],wi [-],measC_Q
2017-12-24 12:00:00,0.0,-44.399999999999984,0.0,,0.006368715357124143,0.003446199500000001,0.00027826395426932307,
2017-12-24 16:00:00,0.0,-44.399999999999984,0.0,,0.006368715357124143,0.00408731875,0.00033003123520102266,
2017-12-24 20:00:00,0.0,-44.399999999999984,0.0,,0.006368715357124143,0.00403624675,0.0003259074180301238,
2017-12-25 00:00:00,0.0,-44.399999999999984,0.0,,0.006368715357124143,0.003566738749999999,0.0002879969161450526,
2017-12-25 04:00:00,0.0,-44.399999999999984,0.0,,0.0092418091665516,0.0033142795,0.0002676120518338404,
2017-12-25 08:00:00,0.0,-44.399999999999984,0.0,,0.0092418091665516,0.0031372322499999996,0.00025331634205920037,
2017-12-25 12:00:00,0.0,-44.399999999999984,0.0,,0.0092418091665516,0.00336412375,0.00027163673412590987,
2017-12-25 16:00:00,0.0,-44.399999999999984,0.0,,0.0092418091665516,0.0038986815000000004,0.0003147996889404272,
2017-12-25 20:00:00,0.0,-44.399999999999984,0.0,,0.0092418091665516,0.0042463,0.0003428682027879774,
2017-12-26 00:00:00,0.0,-44.399999999999984,0.0,,0.0092418091665516,0.0029288879999999997,0.00023649355079181255,
2017-12-26 04:00:00,0.06888480000000001,-44.399999999999984,-3.058485119999999,-44.399999999999984,0.009538497213742714,0.00280061875,0.0002261364287748892,
2017-12-26 08:00:00,0.0,-44.399999999999984,0.0,,0.009538497213742714,0.0031947525,0.0002579608242534437,
2017-12-26 12:00:00,0.0,-44.399999999999984,0.0,,0.009538497213742714,0.0030325,0.00024485971903882007,
2017-12-26 16:00:00,0.06888480000000001,-44.399999999999984,-3.058485119999999,-44.399999999999984,0.009538497213742714,0.0035874440000000004,0.0002896687650148395,
2017-12-26 20:00:00,0.0,-44.399999999999984,0.0,,0.009538497213742714,0.00371156925,0.00029969127905956277,
2017-12-27 00:00:00,0.0,-44.399999999999984,0.0,,0.009538497213742714,0.00286364125,0.00023122519106446015,
2017-12-27 04:00:00,0.0,-44.399999999999984,0.0,,0.009194316228458869,0.00283199,0.00022866950559628956,
2017-12-27 08:00:00,0.0,-44.399999999999984,0.0,,0.009194316228458869,0.0028334370000000003,0.00022878634385299165,
2017-12-27 12:00:00,0.0,-44.399999999999984,0.0,,0.009194316228458869,0.00285861475,0.00023081932548235014,
2017-12-27 16:00:00,0.0,-44.399999999999984,0.0,,0.009194316228458869,0.00336677975,0.00027185119328955936,
